code,name,bookcount,loan_count_6m,dtl_region,전체,영유아(0~5세),유아(6~7세),초등(8~13세),청소년(14~19세),20대,30대,40대,50대,60대 이상,미상,libn_region
50001,국립세종도서관,697845,41512,29010,87912,0.04353216853216853,0.04677404677404677,0.11834561834561835,0.07695195195195195,0.1265015015015015,0.2787901537901538,0.2163868413868414,0.0576030576030576,0.02395577395577396,0.01115888615888616,2
141598,평택시립배다리도서관,207584,24991,31070,285092,0.07071050748530297,0.049068370911845995,0.13143125727835225,0.10327192625538424,0.14304505212352506,0.2592671839265921,0.1319819567016963,0.03727217880543825,0.02023206543852511,0.053719501073337735,10
126157,부산도서관,354657,24368,21150,68080,0.028055229142185664,0.027908343125734432,0.08647179788484137,0.13340188014101054,0.18485605170387776,0.15756462984723854,0.09832549941245593,0.03350470035252644,0.018434195064629847,0.2314776733254994,2
123001,미추홀도서관,474251,23584,23050,213707,0.03174439770339764,0.043208692274937184,0.1211518574496858,0.16183372561497752,0.2435952027776348,0.2078312830183382,0.1285638748379791,0.038501312544745835,0.01623250525251864,0.007337148525785305,2
141593,장기도서관,134647,21246,31230,168182,0.04859021774030515,0.05762804580751805,0.12848580704237075,0.0831836938554661,0.12607175559810205,0.2810169934951421,0.1928981698398164,0.04842967737332176,0.031715641388495794,0.0019799978594617733,10
131080,울산도서관,306428,17029,26020,175079,0.03409318079267073,0.03949074417834235,0.12027142033025093,0.12137377983653096,0.14652242701866014,0.2404457416366326,0.1818036429269073,0.055460677751186606,0.02387493645725644,0.03666344907156198,6
121008,부산광역시립시민도서관,927806,15582,21050,104467,0.02529028305589325,0.03130175079211617,0.0949103544660036,0.1584615237347679,0.22501842687164367,0.1904716321900696,0.1412407745986771,0.04707706739927441,0.02621880593871749,0.060009380952836776,4
149023,한라도서관,381762,14322,39010,172937,0.07028571098145568,0.05792282738800835,0.13229673233605302,0.12068556757663194,0.14649265339401055,0.2387921613072969,0.14733689146914772,0.04276123675095555,0.02034845059183402,0.023077768204606303,7
124003,광주광역시립무등도서관,375936,12731,24040,190998,0.02895841841275825,0.05869171404936178,0.1525618069299155,0.12377616519544707,0.18241028701871226,0.21855202672279286,0.12573430088273174,0.03942449659158735,0.025267280285657442,0.04462350391103572,5
146126,전라남도립도서관,304045,12726,36420,24307,0.04447278561731188,0.049121652198955035,0.1368330110667709,0.11256016785288188,0.13263668901962394,0.290739293207718,0.1680174435347842,0.04463734726621961,0.019294853334430408,0.001686756901304151,2
141141,경기평생교육학습관,724964,12710,31012,234881,0.0549597455732903,0.03710815263899592,0.10566627355980264,0.13772080330039466,0.19718070001404966,0.20860776308002776,0.12038010737352105,0.045278247282666544,0.019848348738297262,0.0732498584389542,5
141114,광주시립중앙도서관,419625,12371,31250,163261,0.06131286712687047,0.03839863776407103,0.1048627657554468,0.1562344956848237,0.1570246415249202,0.240749474767397,0.15085047868137522,0.049711811149019056,0.027599977949418417,0.013254849596658113,10
141135,군포시중앙도서관,382660,12199,31160,235327,0.10058344346377594,0.04875343670722017,0.10121235557330864,0.11653571413394978,0.1720924500801013,0.26368415014001795,0.12655581382501796,0.04206062202807158,0.020579873962613723,0.007942140085922993,1
147168,경북도서관,92552,11826,37400,8908,0.029636281993713518,0.03906600808262236,0.09811405478221824,0.08116299955096543,0.11573866187696452,0.2688594521778177,0.2452851369555456,0.0807139649753031,0.041423439604849566,0.0,1
141077,안양시립석수도서관,484332,11825,31041,139471,0.0471782664496562,0.030945501215306405,0.08532956671996329,0.1524044425005915,0.2252224476772949,0.2285708140043449,0.1379498246947394,0.06095890902051322,0.024736325114181442,0.006703902603408593,4
126024,부산광역시립해운대도서관,320583,11802,21090,166786,0.036579808856858485,0.04150228436439509,0.11226961495569172,0.12534025637643448,0.13480148213878862,0.1937212955523845,0.15011451800510833,0.05193481467269435,0.03137553511685633,0.12236038996078807,6
111037,강북문화정보도서관,281463,11734,11090,196392,0.03291376430811846,0.04880545032384211,0.11057986068678967,0.1440537292761416,0.2344341928388121,0.2256558311947533,0.12454682471791112,0.04314330522628213,0.02409466780724266,0.011772373620106727,7
